Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted,Balanced_Accuracy,Specificity_Macro,FPR,FNR,ROC_AUC,PR_AUC
Random Forest (Centralized),0.5951359084406295,0.04959465903671912,0.08333333333333333,0.06218236173393124,0.444083476074084,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.4749799625868547,0.08461513849280577
PyTorch MLP (Centralized),0.5951359084406295,0.04959465903671912,0.08333333333333333,0.06218236173393124,0.444083476074084,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.5099380848276072,0.08696825991499436
