Hospital_Client,Train_Samples,Local_Test_Accuracy,Local_Test_F1_Macro,Global_Test_Accuracy,Global_Test_F1_Macro,Generalization_Gap_Acc
Hospital_1_GeneralWard,2935,0.2222222222222222,0.045454545454545456,0.5937052932761088,0.0620885697187313,-0.3715
Hospital_2_CardiologyICU,1417,0.8154506437768241,0.09981612818492251,0.5929899856938483,0.06209737827715356,0.2225
Hospital_3_PediatricUnit,1051,0.542319749216301,0.06432422383342629,0.5786838340486409,0.0640168811401688,-0.0364
Hospital_4_OncologyCenter,452,0.08791208791208792,0.037793427230046944,0.04935622317596566,0.017741301226851195,0.0386
Hospital_5_EmergencyUnit,664,0.11811023622047244,0.07019405325856938,0.27753934191702434,0.06472936463982894,-0.1594
